TIMESTAMP,ContextTokens,GeneratedTokens
0,374,44
0,396,109
0,879,55
0,91,16
0,91,16
0,381,84
0,1313,142
0,388,84
0,242,14
0,209,152
0,394,124
0,394,59
0,1315,174
0,2221,15
0,389,90
0,415,106
0,120,12
0,369,74
0,206,162
0,1353,142
0,197,152
0,181,154
0,388,54
0,4085,62
0,2584,170
0,203,147
0,126,194
0,389,87
0,2548,116
0,91,16
0,4081,74
0,181,123
0,191,217
0,27,183
0,203,217
0,398,81
0,126,172
0,209,181
0,209,181
0,28,175
0,437,88
0,181,104
0,203,138
0,200,177
0,4073,58
0,91,16
0,1087,401
0,382,64
0,412,102
0,194,217
0,203,217
0,200,217
0,64,174
0,458,123
0,1352,158
0,874,404
0,378,58
0,91,16
0,4074,50
0,389,89
0,212,183
0,1085,394
0,407,131
0,396,82
0,1029,399
0,962,399
0,203,217
0,898,94
0,181,253
0,320,18
0,1119,414
0,124,157
0,1313,179
0,1096,383
0,400,102
0,1057,424
0,203,162
0,1314,216
0,2,93
0,1065,409
0,372,60
0,4094,82
0,1104,394
0,1075,415
0,4088,37
0,1225,372
0,1118,426
0,380,102
0,1133,385
0,42,167
0,2590,50
0,1140,377
0,126,203
0,431,84
0,1115,421
0,206,179
0,400,91
0,1123,396
0,862,379
0,859,422
0,890,402
0,1192,419
0,899,403
0,163,224
0,181,212
0,416,88
0,1163,426
0,243,14
0,1041,428
0,1350,146
0,1104,396
0,1127,426
0,1114,414
0,1083,396
0,1313,173
0,888,395
0,13,130
0,874,89
0,1065,395
0,1157,426
0,1077,390
0,2903,59
0,4079,27
0,1149,411
0,996,389
0,990,394
0,197,183
0,4107,49
0,197,217
0,1378,407
0,1214,421
0,1016,375
0,1186,398
0,4076,60
0,1100,426
0,218,217
0,1232,419
0,975,416
0,209,217
0,181,85
0,1029,388
0,888,418
0,1113,375
0,1035,520
0,1009,425
0,869,450
0,1183,431
0,972,395
0,1097,396
0,206,183
0,181,208
0,1316,200
0,908,456
0,1094,422
0,996,422
0,420,89
0,1112,385
0,1133,396
0,890,403
0,833,36
0,1093,426
0,206,211
0,898,454
0,1312,180
0,1129,396
0,375,67
0,862,425
0,167,179
0,914,414
0,209,217
0,982,594
0,200,161
0,1313,156
0,999,416
0,1084,397
0,399,106
0,1065,594
0,1036,446
0,1243,398
0,1128,384
0,1000,375
0,992,56
0,920,87
0,1040,388
0,411,101
0,900,91
0,1018,425
0,4082,44
0,395,99
0,209,217
0,181,113
0,1118,414
0,972,392
0,1847,53
0,392,96
0,197,217
0,975,409
0,1025,443
0,1027,388
0,1143,409
0,1028,394
0,874,402
0,997,492
0,72,245
0,851,397
0,408,91
0,1113,531
0,1313,170
0,1083,426
0,1139,394
0,978,437
0,26,146
0,386,61
0,1074,411
0,209,162
0,1099,455
0,120,12
0,126,173
0,416,140
0,4074,40
0,394,83
0,1043,399
0,1099,396
0,857,91
0,209,217
0,1109,365
0,993,441
0,888,418
0,2294,72
0,1141,388
0,1067,394
0,1116,423
0,416,79
0,1126,520
0,203,179
0,379,144
0,56,164
0,1232,410
0,209,162
0,206,162
0,1083,378
0,171,183
0,982,429
0,2208,87
0,374,54
0,1019,413
0,126,205
0,1147,396
0,1078,428
0,883,413
