
Simulation Setting
========================================
input         : inputs/requests.csv
prefill batch : 1
decode batch  : 64
request_num   : 100
========================================

Requests
==========================================================================================================

 L_prefill | L_decode | Decode start  | Decode end    | Decode time(ms) | stall_total(ms) | stall_ratio(%)
-----------+----------+---------------+---------------+-----------------+-----------------+---------------
       374 |       44 |     0.0145305 |     0.0695832 |            55.1 |            4.35 |          7.89
       396 |      109 |     0.0157382 |       0.16203 |             146 |            12.4 |          8.44
        91 |       16 |     0.0204953 |     0.0396411 |            19.1 |            1.51 |          7.87
        91 |       16 |     0.0241977 |     0.0435808 |            19.4 |            1.56 |          8.04
       381 |       84 |      0.038367 |      0.152203 |             114 |            9.93 |          8.72
       879 |       55 |      0.049971 |      0.123608 |            73.6 |            6.07 |          8.24
       388 |       84 |     0.0643273 |      0.180383 |             116 |            10.2 |          8.75
       242 |       14 |     0.0734281 |     0.0908116 |            17.4 |            1.37 |          7.85
       209 |      152 |     0.0827296 |      0.305034 |             222 |            19.9 |          8.95
      1313 |      142 |     0.0908116 |      0.299049 |             208 |            18.7 |          8.97
       394 |      124 |     0.0977251 |      0.278597 |             181 |            16.1 |          8.91
       394 |       59 |      0.106074 |        0.1888 |            82.7 |            7.64 |          9.23
      1315 |      174 |       0.14932 |      0.404155 |             255 |            23.1 |          9.05
       389 |       90 |      0.163481 |      0.297398 |             134 |            11.7 |          8.75
       415 |      106 |      0.180383 |      0.337603 |             157 |            14.2 |          9.04
       120 |       12 |      0.184583 |      0.200031 |            15.4 |            1.03 |          6.67
      2221 |       15 |      0.193053 |      0.213258 |            20.2 |            1.19 |          5.88
       369 |       74 |      0.200031 |      0.312222 |             112 |            10.2 |           9.1
       206 |      162 |       0.20147 |      0.443321 |             242 |            22.9 |          9.46
       197 |      152 |      0.208785 |      0.435519 |             227 |            21.4 |          9.45
       181 |      154 |      0.216173 |      0.446414 |             230 |            22.2 |          9.62
       388 |       54 |      0.231181 |      0.313932 |            82.8 |            8.21 |          9.92
      1353 |      142 |      0.252896 |       0.46378 |             211 |            20.6 |          9.76
      2584 |      170 |      0.354194 |      0.612952 |             259 |            24.7 |          9.55
       203 |      147 |      0.362718 |      0.582156 |             219 |            20.6 |          9.37
       126 |      194 |      0.368296 |      0.672743 |             304 |            28.7 |          9.44
       389 |       87 |      0.382816 |      0.510466 |             128 |            12.8 |            10
      4085 |       62 |      0.396552 |      0.488106 |            91.6 |            9.24 |          10.1
        91 |       16 |      0.399594 |      0.423183 |            23.6 |            2.27 |          9.61
      2548 |      116 |       0.48378 |       0.67111 |             187 |            17.4 |          9.29
       181 |      123 |      0.490674 |      0.692231 |             202 |            18.7 |          9.26
       191 |      217 |      0.499067 |       0.87238 |             373 |            33.9 |          9.07
        27 |      183 |      0.500398 |      0.813133 |             313 |            28.5 |          9.12
       203 |      217 |      0.509058 |       0.88435 |             375 |            34.3 |          9.15
       398 |       81 |      0.523849 |       0.65859 |             135 |            11.9 |          8.82
       126 |      172 |      0.529647 |      0.830012 |             300 |            27.1 |          9.03
       209 |      181 |      0.538428 |      0.856974 |             319 |            28.9 |          9.07
       209 |      181 |      0.546173 |      0.865612 |             319 |            28.7 |          8.99
        28 |      175 |      0.547627 |      0.856974 |             309 |            27.9 |          9.03
       437 |       88 |      0.565577 |      0.718567 |             153 |            13.7 |          8.93
      4081 |       74 |      0.565577 |      0.693928 |             128 |            11.1 |          8.64
       181 |      104 |       0.57202 |      0.754148 |             182 |            16.8 |          9.25
       203 |      138 |      0.573648 |      0.818868 |             245 |            22.3 |          9.09
       200 |      177 |      0.580487 |      0.894321 |             314 |              29 |          9.23
